Region,State,Metro,County,Code
Monroe,VA,Lynchburg,Amherst,s13101
Bourbon,IN,Plymouth,Marshall,s13102
Briar,TX,Dallas-Fort Worth,Tarrant,s13103
Town of Athens,NY,,Greene,s13104
Elberfeld,IN,Evansville,Warrick,s13105
Winfield,IN,Chicago,Lake,s13106
Little Cottonwood Creek Valley,UT,Salt Lake City,Salt Lake,s13107
Polo,IL,Rochelle,Ogle,s13108
Shubuta,MS,Meridian,Clarke,s13109
Providence,KY,Evansville,Webster,s13110
Sumner,IL,,Lawrence,s13111
Bark River,MI,Escanaba,Delta,s13112
Yorktown,TX,,De Witt,s13113
Franklin Township,PA,Pittsburgh,Beaver,s13114
Afton,VA,Charlottesville,Nelson,s13115
Stony Point,NC,Hickory,Alexander,s13116
Refugio,TX,,Refugio,s13117
Braham,MN,Minneapolis-St Paul,Isanti,s13118
Garrett,IN,Auburn,De Kalb,s13119
Sandia Park,NM,Albuquerque,Bernalillo,s13120
Town of Dover-Foxcroft,ME,,Piscataquis,s13121
Rainsville,AL,Fort Payne,De Kalb,s13122
San Saba,TX,,San Saba,s13123
Plain City,UT,Ogden,Weber,s13124
Lewiston,MI,,Montmorency,s13125
Chico,TX,Dallas-Fort Worth,Wise,s13126
Jarrell,TX,Austin,Williamson,s13127
Clarksville,OH,Wilmington,Clinton,s13128
Murchison,TX,Athens,Henderson,s13129
Woodlawn-Oakdale,KY,Paducah,McCracken,s13130
Panhandle,TX,Amarillo,Carson,s13131
Shelby,MT,,Toole,s13132
Lost Creek,TX,Austin,Travis,s13133
Vienna,IL,,Johnson,s13134
Towanda Township,PA,Sayre,Bradford,s13135
Boston,GA,Thomasville,Thomas,s13136
Baldwin,MI,,Lake,s13137
Beaver,OH,,Pike,s13138
Brookville,PA,,Jefferson,s13139
Progreso,TX,McAllen,Hidalgo,s13140
Norton,KS,,Norton,s13141
Ontonagon,MI,,Ontonagon,s13142
Pennsboro,WV,,Ritchie,s13143
Teutopolis,IL,Effingham,Effingham,s13144
Fairland,IN,Indianapolis,Shelby,s13145
Hale,MI,,Iosco,s13146
Meadowview,VA,Kingsport,Washington,s13147
Lewistown,IL,Canton,Fulton,s13148
Monroeville,IN,Fort Wayne,Allen,s13149
Oxford,WI,,Adams,s13150
Argenta,IL,Decatur,Macon,s13151
Los Fresnos,TX,Brownsville,Cameron,s13152
Wabasha,MN,Rochester,Wabasha,s13153
Honey Grove,TX,Bonham,Fannin,s13154
Onamia,MN,,Mille Lacs,s13155
Chouteau,OK,,Mayes,s13156
Star,ID,Boise City,Ada,s13157
Baden,PA,Pittsburgh,Beaver,s13158
Jesup,IA,,Buchanan,s13159
Belle Rose,LA,Pierre Part,Assumption,s13160
Pacific,MO,St. Louis,Franklin,s13161
Norco,LA,New Orleans,Saint Charles,s13162
Crystal City,MO,St. Louis,Jefferson,s13163
Woodson Terrace,MO,St. Louis,Saint Louis,s13164
Seymour,TX,,Baylor,s13165
Tipton,MO,Jefferson City,Moniteau,s13166
Gassville,AR,Mountain Home,Baxter,s13167
Cherryvale,KS,Coffeyville,Montgomery,s13168
Alexandria,AL,Anniston,Calhoun,s13169
Florence,TX,Austin,Williamson,s13170
Lexington,AL,Florence,Lauderdale,s13171
Cherokee,AL,Florence,Colbert,s13172
Clinton,KY,,Hickman,s13173
Bismarck,AR,,Hot Spring,s13174
Paupack Township,PA,,Wayne,s13175
Van,TX,,Van Zandt,s13176
Town of Oxford,ME,,Oxford,s13177
Macks Creek,MO,,Camden,s13178
Linden,TX,,Cass,s13179
Brownsboro,TX,Athens,Henderson,s13180
Stamping Ground,KY,Lexington,Scott,s13181
Cecilia,KY,Elizabethtown,Hardin,s13182
Bosque Farms,NM,Albuquerque,Valencia,s13183
Parrish,AL,Birmingham,Walker,s13184
Hendron,KY,Paducah,McCracken,s13185
Del Norte,CO,,Rio Grande,s13186
Rural Retreat,VA,,Wythe,s13187
Paint Lick,KY,Richmond,Madison,s13188
Waterloo,SC,Greenville,Laurens,s13189
Saint Charles,MN,Winona,Winona,s13190
Storm Lake,IA,Storm Lake,Buena Vista,s13191
Central City,NE,Grand Island,Merrick,s13192
Suttons Bay,MI,Traverse City,Leelanau,s13193
McDermott,OH,Portsmouth,Scioto,s13194
Williamsville,NY,Buffalo,Erie,s13195
Belfry,KY,,Pike,s13196
Osage City,KS,Topeka,Osage,s13197
Abilene,KS,,Dickinson,s13198
Franklin Furnace,OH,Portsmouth,Scioto,s13199
Sugar Creek,MO,Kansas City,Jackson,s13200
Hawarden,IA,,Sioux,s13201
West Bountiful,UT,Ogden,Davis,s13202
Lansing,NC,,Ashe,s13203
Mart,TX,Waco,McLennan,s13204
Naples,ME,Portland,Cumberland,s13205
Star,NC,,Montgomery,s13206
McBain,MI,Cadillac,Missaukee,s13207
Rapid River,MI,Escanaba,Delta,s13208
Roundup,MT,,Musselshell,s13209
Webster,WI,,Burnett,s13210
Floydada,TX,,Floyd,s13211
Wakarusa,IN,Elkhart,Elkhart,s13212
Heavener,OK,Fort Smith,LeFlore,s13213
Queen City,TX,,Cass,s13214
Spirit Lake,IA,Spirit Lake,Dickinson,s13215
Eureka,KS,,Greenwood,s13216
Spring Valley,MN,,Fillmore,s13217
Howard Lake,MN,Minneapolis-St Paul,Wright,s13218
Junction,TX,,Kimble,s13219
Dodge Center,MN,Rochester,Dodge,s13220
Bonne Terre,MO,Farmington,Saint Francois,s13221
Alvord,TX,Dallas-Fort Worth,Wise,s13222
Choudrant,LA,Ruston,Lincoln,s13223
Lyncourt,NY,Syracuse,Onondaga,s13224
Moores Hill,IN,Cincinnati,Dearborn,s13225
Presque Isle,MI,,Presque Isle,s13226
Lisbon Falls,ME,Lewiston,Androscoggin,s13227
Burnside,KY,Somerset,Pulaski,s13228
Sneedville,TN,,Hancock,s13229
Harpswell,ME,Portland,Cumberland,s13230
Bernie,MO,,Stoddard,s13231
Roaring River,NC,North Wilkesboro,Wilkes,s13232
Hagerstown,IN,Richmond,Wayne,s13233
West Branch,IA,,Cedar,s13234
Odem,TX,Corpus Christi,San Patricio,s13235
Hennessey,OK,,Kingfisher,s13236
Wray,CO,,Yuma,s13237
Frankfort,MI,Traverse City,Benzie,s13238
Portola,CA,,Plumas,s13239
Shirley,AR,,Van Buren,s13240
Bloomingdale,OH,Weirton,Jefferson,s13241
Union City,MI,Coldwater,Branch,s13242
Ocean Park,WA,,Pacific,s13243
Haskell,TX,,Haskell,s13244
Carrollton,IL,,Greene,s13245
Wyandotte,OK,Miami,Ottawa,s13246
Fulshear,TX,Houston,Fort Bend,s13247
Scottville,MI,,Mason,s13248
Pelham,NC,,Caswell,s13249
Carter Lake,IA,Omaha,Pottawattamie,s13250
Indian River,MI,,Cheboygan,s13251
Monroe Township,PA,Selinsgrove,Snyder,s13252
Moselle,MS,Laurel,Jones,s13253
Eureka,MT,,Lincoln,s13254
Martindale,TX,Austin,Caldwell,s13255
Marlinton,WV,,Pocahontas,s13256
Hanover Township,PA,Pittsburgh,Beaver,s13257
Stamford,TX,Abilene,Jones,s13258
Deltaville,VA,,Middlesex,s13259
Enterprise,MS,Meridian,Clarke,s13260
La Crosse,VA,,Mecklenburg,s13261
Blooming Prairie,MN,Owatonna,Steele,s13262
Fort Mitchell,AL,Columbus,Russell,s13263
Frontenac,MO,St. Louis,Saint Louis,s13264
Spring Valley,TX,Houston,Harris,s13265
Danbury,WI,,Burnett,s13266
Plainview,MN,Rochester,Wabasha,s13267
Cherokee Village,AR,,Sharp,s13268
Montrose,MN,Minneapolis-St Paul,Wright,s13269
Anson,TX,Abilene,Jones,s13270
Gillett,WI,Green Bay,Oconto,s13271
Lone Oak,TX,Dallas-Fort Worth,Hunt,s13272
Mitchell,NE,Scottsbluff,Scotts Bluff,s13273
Appalachia,VA,,Wise,s13274
Brown Township,PA,Lewistown,Mifflin,s13275
Fredonia,KS,,Wilson,s13276
Boydton,VA,,Mecklenburg,s13277
Atlanta,MI,,Montmorency,s13278
Carterville,IL,Marion,Williamson,s13279
Town of Greenville,NY,,Greene,s13280
Colby,WI,,Clark,s13281
Damon,TX,Houston,Brazoria,s13282
Hustonville,KY,Danville,Lincoln,s13283
Gaston,NC,Roanoke Rapids,Northampton,s13284
French Lick,IN,,Orange,s13285
Fennimore,WI,Platteville,Grant,s13286
Lake City,AR,Jonesboro,Craighead,s13287
Argyle,TX,Dallas-Fort Worth,Denton,s13288
Berryton,KS,Topeka,Shawnee,s13289
Wadesville,IN,Evansville,Posey,s13290
Clinton Township,PA,Williamsport,Lycoming,s13291
Elizabeth,WV,Parkersburg,Wirt,s13292
Motley,MN,,Morrison,s13293
Milford,IA,Spirit Lake,Dickinson,s13294
Elliston,VA,Blacksburg,Montgomery,s13295
Halstead,KS,Wichita,Harvey,s13296
Lawrenceburg,IN,Cincinnati,Dearborn,s13297
Preston,MS,Meridian,Kemper,s13298
Earle,AR,Memphis,Crittenden,s13299
Brantley,AL,,Crenshaw,s13300
Town of Canajoharie,NY,Amsterdam,Montgomery,s13301
Dozier,AL,,Covington,s13302
Sutherland,VA,Richmond,Dinwiddie,s13303
Casco,ME,Portland,Cumberland,s13304
Ripley,OH,Cincinnati,Brown,s13305
Baldwin,GA,,Banks,s13306
Estherville,IA,,Emmet,s13307
Eagar,AZ,,Apache,s13308
Wedowee,AL,,Randolph,s13309
Damascus,PA,,Wayne,s13310
Walters,OK,,Cotton,s13311
Soda Springs,ID,,Caribou,s13312
Pine River,MN,Brainerd,Cass,s13313
Breckenridge,MN,,Waseca,s13314
Goodwater,AL,,Clay,s13315
Hillman,MI,,Montmorency,s13316
Sunderland,MA,Springfield,Franklin,s13317
Spearman,TX,,Hansford,s13318
Helenwood,TN,,Scott,s13319
Huddleston,VA,Lynchburg,Bedford,s13320
New Bloomfield,MO,Jefferson City,Callaway,s13321
South Chicago Heights,IL,Chicago,Cook,s13322
Peralta,NM,Albuquerque,Valencia,s13323
Wallisville,TX,Houston,Chambers,s13324
Minden,NY,Amsterdam,Montgomery,s13325
New Paris,IN,Elkhart,Elkhart,s13326
Walnut Grove,MO,Springfield,Greene,s13327
Crane,TX,,Crane,s13328
Port Aransas,TX,Corpus Christi,Nueces,s13329
Bunker Hill,IN,Peru,Miami,s13330
Canby,MN,,Yellow Medicine,s13331
Haring,MI,Cadillac,Wexford,s13332
Jennings,FL,,Hamilton,s13333
Plymouth,CA,,Amador,s13334
Livingston,NY,Hudson,Columbia,s13335
Hartfield,VA,,Middlesex,s13336
Barnum,MN,Duluth,Carlton,s13337
Boardman,OR,Pendleton,Morrow,s13338
Sibley,IA,,Osceola,s13339
Roosevelt,UT,,Duchesne,s13340
Memphis,IN,Louisville/Jefferson County,Clark,s13341
Mount Morris,IL,Rochelle,Ogle,s13342
Town of Winterport,ME,,Waldo,s13343
Thorntown,IN,Indianapolis,Boone,s13344
Republic,WA,,Ferry,s13345
Paige,TX,Austin,Bastrop,s13346
Glenwood,AR,,Pike,s13347
Tecumseh,KS,Topeka,Shawnee,s13348
English,IN,,Crawford,s13349
Saint Marys,KS,Manhattan,Pottawatomie,s13350
Woodland,AL,,Randolph,s13351
Cushing,TX,Nacogdoches,Nacogdoches,s13352
Ethel,LA,Baton Rouge,East Feliciana,s13353
Golden,MS,Tupelo,Itawamba,s13354
Brodhead,KY,Richmond,Rockcastle,s13355
Glenmora,LA,Alexandria,Rapides,s13356
Meriden,KS,Topeka,Jefferson,s13357
Salemburg,NC,,Sampson,s13358
Battle Ground,IN,Lafayette,Tippecanoe,s13359
Kenyon,MN,Red Wing,Goodhue,s13360
Birnamwood,WI,,Shawano,s13361
Edgard,LA,New Orleans,Saint John the Baptist,s13362
Eutaw,AL,Tuscaloosa,Greene,s13363
Pere Marquette Township,MI,,Mason,s13364
Guston,KY,Louisville/Jefferson County,Meade,s13365
Cana,VA,,Carroll,s13366
Smiths Station,AL,Auburn,Lee,s13367
Camp Hill,AL,Alexander City,Tallapoosa,s13368
Pottsville,AR,Russellville,Pope,s13369
Munising,MI,,Alger,s13370
Fox Township,PA,St. Marys,Elk,s13371
Waynesburg,KY,Danville,Lincoln,s13372
Cross Mountain,TX,San Antonio,Bexar,s13373
Conewango Township,PA,Warren,Warren,s13374
Mount Crawford,VA,Harrisonburg,Rockingham,s13375
Biscoe,NC,,Montgomery,s13376
Butler,KY,Cincinnati,Pendleton,s13377
Alderson,WV,,Greenbrier,s13378
Erin,TN,,Houston,s13379
Vian,OK,Fort Smith,Sequoyah,s13380
Rolling Prairie,IN,Michigan City,La Porte,s13381
Geddes,NY,Syracuse,Onondaga,s13382
Elberton,GA,,Elbert,s13383
Santa Rosa,NM,,Guadalupe,s13384
West Baden Springs,IN,,Orange,s13385
Ohioville,PA,Pittsburgh,Beaver,s13386
Soperton,GA,,Treutlen,s13387
Bronston,KY,Somerset,Pulaski,s13388
Abernathy,TX,Plainview,Hale,s13389
New Plymouth,ID,Ontario,Payette,s13390
Muncy Township,PA,Williamsport,Lycoming,s13391
Backus,MN,Brainerd,Cass,s13392
Springerville,AZ,,Apache,s13393
Hallsville,MO,Columbia,Boone,s13394
Massac,KY,Paducah,McCracken,s13395
Malad City,ID,,Oneida,s13396
Hawthorne,NV,,Mineral,s13397
Perry,OK,,Noble,s13398
Coalville,UT,Salt Lake City,Summit,s13399
Raleigh,MS,,Smith,s13400
Rockwell,AR,Hot Springs,Garland,s13401
Maeser,UT,Vernal,Uintah,s13402
Mangum,OK,,Greer,s13403
Pagedale,MO,St. Louis,Saint Louis,s13404
Oblong,IL,,Crawford,s13405
Tonkawa,OK,Ponca City,Kay,s13406
Hartshorne,OK,McAlester,Pittsburg,s13407
Burkeville,VA,,Nottoway,s13408
Diboll,TX,Lufkin,Angelina,s13409
Idalou,TX,Lubbock,Lubbock,s13410
Manawa,WI,,Waupaca,s13411
Akron,IN,,Fulton,s13412
Olivia,MN,,Renville,s13413
Irrigon,OR,Pendleton,Morrow,s13414
Independence,VA,,Grayson,s13415
Keating Township,PA,Bradford,McKean,s13416
Muncy Creek,PA,Williamsport,Lycoming,s13417
Moreauville,LA,,Avoyelles,s13418
De Graff,OH,Bellefontaine,Logan,s13419
Porter,IN,Chicago,Porter,s13420
Eudora,AR,,Chicot,s13421
Hale Center,TX,Plainview,Hale,s13422
Seneca,KS,,Nemaha,s13423
Crothersville,IN,Seymour,Jackson,s13424
New Vienna,OH,Wilmington,Clinton,s13425
Wathena,KS,St. Joseph,Doniphan,s13426
Conrad,MT,,Pondera,s13427
Churchville,VA,Staunton,Augusta,s13428
Lipan,TX,Granbury,Hood,s13429
Middletown,NY,,Delaware,s13430
Royal Palm Estates,FL,Miami-Fort Lauderdale,Palm Beach,s13431
Pullman,MI,Allegan,Allegan,s13432
Belle Plaine,KS,Wichita,Sumner,s13433
Maize,KS,Wichita,Sedgwick,s13434
Clear Lake,WI,,Polk,s13435
Battlefield,MO,Springfield,Greene,s13436
Troy,MT,,Lincoln,s13437
Carmi,IL,,White,s13438
La Verkin,UT,St. George,Washington,s13439
Midway North,TX,McAllen,Hidalgo,s13440
Great Falls,SC,Chester,Chester,s13441
Athens,IL,Springfield,Menard,s13442
Galeville,NY,Syracuse,Onondaga,s13443
Talihina,OK,Fort Smith,LeFlore,s13444
Alton North,TX,McAllen,Hidalgo,s13445
Pocola,OK,Fort Smith,LeFlore,s13446
Bolton,MS,Jackson,Hinds,s13447
Schuyler,NY,Utica,Herkimer,s13448
Bangs,TX,Brownwood,Brown,s13449
Damascus,VA,Kingsport,Washington,s13450
Valentine,NE,,Cherry,s13451
Hamilton,IL,,Hancock,s13452
Valley Grande,AL,Selma,Dallas,s13453
Hillsboro,OH,,Highland,s13454
Town of Fryeburg,ME,,Oxford,s13455
Ecru,MS,Tupelo,Pontotoc,s13456
Fair Oaks Ranch,TX,San Antonio,Bexar,s13457
Bells,TX,Sherman,Grayson,s13458
Winslow,IN,Jasper,Pike,s13459
Leland,IL,Ottawa,La Salle,s13460
Maidens,VA,Richmond,Goochland,s13461
New York Mills,MN,Fergus Falls,Otter Tail,s13462
Raphine,VA,Staunton,Augusta,s13463
Courtland,MS,,Panola,s13464
Lena,WI,Green Bay,Oconto,s13465
Brady,TX,,McCulloch,s13466
Kitty Hawk,NC,Kill Devil Hills,Dare,s13467
Redfield,SD,,Spink,s13468
Oroville,WA,,Okanogan,s13469
Gibson,LA,Houma,Terrebonne,s13470
Hindsville,AR,Fayetteville,Madison,s13471
Fouke,AR,Texarkana,Miller,s13472
Farmington,IL,Canton,Fulton,s13473
Sandia,TX,Corpus Christi,Nueces,s13474
Gueydan,LA,Abbeville,Vermilion,s13475
Warrenton,GA,,Warren,s13476
Lake Ann,MI,Traverse City,Benzie,s13477
Sorrento,LA,Baton Rouge,Ascension,s13478
Patterson Township,PA,Pittsburgh,Beaver,s13479
De Kalb,MS,Meridian,Kemper,s13480
Springfield,MN,New Ulm,Brown,s13481
Stockton,IL,,Jo Daviess,s13482
Brewerton,NY,Syracuse,Onondaga,s13483
Town of Richmond,ME,Portland,Sagadahoc,s13484
Winters,TX,,Runnels,s13485
Fosston,MN,Grand Forks,Polk,s13486
Conway,NC,Roanoke Rapids,Northampton,s13487
Goldthwaite,TX,,Mills,s13488
Hokes Bluff,AL,Gadsden,Etowah,s13489
Huntsville,UT,Ogden,Weber,s13490
Lawrenceville,IL,,Lawrence,s13491
Zavalla,TX,Lufkin,Angelina,s13492
Milton,KY,Louisville/Jefferson County,Trimble,s13493
Arlington,MN,,Sibley,s13494
Pierce,NE,Norfolk,Pierce,s13495
Daugherty Township,PA,Pittsburgh,Beaver,s13496
Dinwiddie,VA,Richmond,Dinwiddie,s13497
Shawsville,VA,Blacksburg,Montgomery,s13498
Galveston,IN,Logansport,Cass,s13499
Locust Grove,OK,,Mayes,s13500
Warren,IN,Huntington,Huntington,s13501
West Lake Hills,TX,Austin,Travis,s13502
Rush,KY,Huntington,Boyd,s13503
Britt,IA,,Hancock,s13504
German Flatts,NY,Utica,Herkimer,s13505
Silex,MO,St. Louis,Lincoln,s13506
Alger,MI,,Arenac,s13507
Charleston Township,PA,,Tioga,s13508
Maysville,WV,,Grant,s13509
Mammoth Spring,AR,,Fulton,s13510
Sturgeon,MO,Columbia,Boone,s13511
Manchester,IA,,Delaware,s13512
Muscoda,WI,Platteville,Grant,s13513
Crandon,WI,,Forest,s13514
South Mills,NC,Elizabeth City,Camden,s13515
Montreal,MO,,Camden,s13516
Boyceville,WI,Menomonie,Dunn,s13517
Milford,NE,Lincoln,Seward,s13518
Fayette Township,PA,,Juniata,s13519
Reidland,KY,Paducah,McCracken,s13520
Amity,AR,Arkadelphia,Clark,s13521
Kane,PA,Bradford,McKean,s13522
Merryville,LA,De Ridder,Beauregard,s13523
Dresser,WI,,Polk,s13524
Herington,KS,,Dickinson,s13525
West Unity,OH,,Williams,s13526
Frankton,IN,Anderson,Madison,s13527
Holyoke,CO,,Phillips,s13528
Timpson,TX,,Shelby,s13529
Forsyth,MT,,Rosebud,s13530
Mountain Lake,MN,,Cottonwood,s13531
Prospect,OH,Marion,Marion,s13532
Washington,LA,Opelousas,Saint Landry,s13533
Auxvasse,MO,Jefferson City,Callaway,s13534
Lanark,IL,,Carroll,s13535
Rock,WV,Bluefield,Mercer,s13536
Hico,TX,,Hamilton,s13537
Mansfield,AR,,Scott,s13538
L'' Anse,MI,,Baraga,s13539
Dillonvale,OH,Weirton,Jefferson,s13540
Monrovia,IN,Indianapolis,Morgan,s13541
Lake Mills,IA,,Winnebago,s13542
Celina,TX,Dallas-Fort Worth,Collin,s13543
Greenville,FL,,Madison,s13544
Corydon,KY,Evansville,Henderson,s13545
Gila Bend,AZ,Phoenix,Maricopa,s13546
Bridgeport,IL,,Lawrence,s13547
Platte City,MO,Kansas City,Platte,s13548
Benton,NY,,Yates,s13549
Saint Ignatius,MT,,Lake,s13550
Italy,TX,Dallas-Fort Worth,Ellis,s13551
Fairview,OK,,Major,s13552
Hickory Creek,TX,Dallas-Fort Worth,Denton,s13553
Sheridan Township,MI,Grand Rapids,Newaygo,s13554
Charlotte Court House,VA,,Charlotte,s13555
Menlo,GA,Summerville,Chattooga,s13556
Ord,NE,,Valley,s13557
Luck,WI,,Polk,s13558
Sebewaing,MI,,Huron,s13559
Osceola,AR,Blytheville,Mississippi,s13560
Bluemont,VA,Washington,Clarke,s13561
Whigham,GA,,Grady,s13562
Perryville,AR,Little Rock,Perry,s13563
Moravian Falls,NC,North Wilkesboro,Wilkes,s13564
Battle Lake,MN,Fergus Falls,Otter Tail,s13565
Sabetha,KS,,Nemaha,s13566
Forest Hill,LA,Alexandria,Rapides,s13567
Houston,MN,La Crosse,Houston,s13568
Turtle Lake,WI,,Barron,s13569
Stonewall,LA,Shreveport,De Soto,s13570
Valley Falls,KS,Topeka,Jefferson,s13571
Wolf Township,PA,Williamsport,Lycoming,s13572
Granger,TX,Austin,Williamson,s13573
Lockesburg,AR,,Sevier,s13574
Monticello,MS,,Lawrence,s13575
Town of Newport,ME,Bangor,Penobscot,s13576
New Salisbury,IN,Louisville/Jefferson County,Harrison,s13577
La Luz,NM,Alamogordo,Otero,s13578
Guthrie Center,IA,Des Moines,Guthrie,s13579
Neodesha,KS,,Wilson,s13580
Spring Grove,VA,Virginia Beach,Surry,s13581
Pleasant Valley,MO,Kansas City,Clay,s13582
Wardensville,WV,,Hardy,s13583
Wellsboro,PA,,Tioga,s13584
Gresham,SC,,Marion,s13585
Elmira,MI,,Antrim,s13586
Omaha,AR,Harrison,Boone,s13587
Whitesville,KY,Owensboro,Daviess,s13588
Pine Creek,PA,Lock Haven,Clinton,s13589
Tracy,MN,Marshall,Lyon,s13590
Santa Teresa,NM,Las Cruces,Dona Ana,s13591
Nixon,TX,,Gonzales,s13592
Konawa,OK,,Seminole,s13593
Adams,WI,,Adams,s13594
Stanton,NE,Norfolk,Stanton,s13595
Melissa,TX,Dallas-Fort Worth,Collin,s13596
Fairway,KS,Kansas City,Johnson,s13597
Goshen,VA,,Rockbridge,s13598
New Kent,VA,Richmond,New Kent,s13599
Clarksville,VA,,Mecklenburg,s13600
Sterling,KS,,Rice,s13601
Flora,IN,Lafayette,Carroll,s13602
Shepherd,MT,Billings,Yellowstone,s13603
McComb,OH,Findlay,Hancock,s13604
Jacksons Gap,AL,Alexander City,Tallapoosa,s13605
Tornillo,TX,El Paso,El Paso,s13606
Ingram,TX,Kerrville,Kerr,s13607
Town of Hancock,NY,,Delaware,s13608
Belle Plaine,IA,Cedar Rapids,Benton,s13609
Madison,NE,Norfolk,Madison,s13610
Lamoni,IA,,Decatur,s13611
Brewton,AL,,Escambia,s13612
Kingsbury,TX,San Antonio,Guadalupe,s13613
Lakeville,IN,South Bend,Saint Joseph,s13614
West Providence Township,PA,,Bedford,s13615
Pigeon,MI,,Huron,s13616
Jonesboro,IN,Marion,Grant,s13617
Redfield,AR,Pine Bluff,Jefferson,s13618
Winterset,IA,Des Moines,Madison,s13619
Gleason,WI,Merrill,Lincoln,s13620
Gaylesville,AL,,Cherokee,s13621
Dryden,VA,,Lee,s13622
El Lago,TX,Houston,Harris,s13623
Rossville,IN,Frankfort,Clinton,s13624
Pine Lawn,MO,St. Louis,Saint Louis,s13625
Prophetstown,IL,Sterling,Whiteside,s13626
Keswick,VA,Charlottesville,Albemarle,s13627
Greenwood,WI,,Clark,s13628
Town of Livermore Falls,ME,Lewiston,Androscoggin,s13629
Minneapolis,KS,Salina,Ottawa,s13630
Tustin,MI,,Osceola,s13631
Forestbrook,SC,Myrtle Beach,Horry,s13632
Chappell Hill,TX,Brenham,Washington,s13633
Weyers Cave,VA,Staunton,Augusta,s13634
Marks,MS,,Quitman,s13635
Kilmichael,MS,,Montgomery,s13636
Fruit Heights,UT,Ogden,Davis,s13637
Fayetteville,NY,Syracuse,Onondaga,s13638
Worthington,IN,Bloomington,Greene,s13639
Belgrade,ME,Augusta,Kennebec,s13640
Louisville,NE,Omaha,Cass,s13641
Jeffersonville,GA,Macon,Twiggs,s13642
Monroe,IA,Newton,Jasper,s13643
Arcadia,IN,Indianapolis,Hamilton,s13644
Collinsville,TX,Sherman,Grayson,s13645
Waterville,MN,,Le Sueur,s13646
Postville,IA,,Allamakee,s13647
Blanchard,MI,Mount Pleasant,Isabella,s13648
Red Oak,IA,,Montgomery,s13649
North Buffalo Township,PA,Pittsburgh,Armstrong,s13650
Shiloh,GA,Columbus,Harris,s13651
Harmony Township,PA,Pittsburgh,Beaver,s13652
Mayo,FL,,Lafayette,s13653
Drasco,AR,,Cleburne,s13654
Suring,WI,Green Bay,Oconto,s13655
Turbeville,SC,,Clarendon,s13656
Woodcock Township,PA,Meadville,Crawford,s13657
Greenfield,IA,,Adair,s13658
Malta,MT,,Phillips,s13659
Baxley,GA,,Appling,s13660
Hampton,SC,,Hampton,s13661
Palestine,IL,,Crawford,s13662
Holdenville,OK,,Hughes,s13663
Roberta,GA,Macon,Crawford,s13664
Mount Pulaski,IL,Lincoln,Logan,s13665
Stryker,OH,,Williams,s13666
Ozark,AR,Fort Smith,Franklin,s13667
Ida Grove,IA,,Ida,s13668
Bear Lake,MI,,Manistee,s13669
Parker City,IN,,Randolph,s13670
Steens,MS,Columbus,Lowndes,s13671
Gladstone,VA,Charlottesville,Nelson,s13672
Richwood,TX,Houston,Brazoria,s13673
Thompsonville,IL,,Franklin,s13674
Village of Four Seasons,MO,,Camden,s13675
Marion,KS,,Marion,s13676
La Mesa,NM,Las Cruces,Dona Ana,s13677
Stoddard,WI,,Vernon,s13678
Lakefield,MN,,Jackson,s13679
Pantego,TX,Dallas-Fort Worth,Tarrant,s13680
East St Clair Township,PA,,Bedford,s13681
Convoy,OH,Van Wert,Van Wert,s13682
Chincoteague,VA,,Accomack,s13683
Brookport,IL,Paducah,Massac,s13684
Bowman,GA,,Elbert,s13685
White Hall,IL,,Greene,s13686
Columbia,VA,Richmond,Goochland,s13687
Lakin,KS,,Kearny,s13688
Overbrook,KS,Topeka,Osage,s13689
Northwood,IA,Mason City,Worth,s13690
Chatom,AL,,Washington,s13691
Lovelock,NV,,Pershing,s13692
New London,IA,,Henry,s13693
Mooreville,MS,Tupelo,Lee,s13694
Choteau,MT,,Teton,s13695
Wrens,GA,,Jefferson,s13696
Gilmer,TX,Longview,Upshur,s13697
Wild Rose,WI,,Waushara,s13698
Grape Creek,TX,San Angelo,Tom Green,s13699
Marriott-Slaterville City,UT,Ogden,Weber,s13700
Deep Run,NC,Kinston,Lenoir,s13701
Bowdoin,ME,Portland,Sagadahoc,s13702
Ritzville,WA,,Adams,s13703
Ovett,MS,Laurel,Jones,s13704
Gerald,MO,St. Louis,Franklin,s13705
Woolwich,ME,Portland,Sagadahoc,s13706
Holt,MO,Kansas City,Clay,s13707
Waverly,MN,Minneapolis-St Paul,Wright,s13708
Copake,NY,Hudson,Columbia,s13709
Lexington,GA,Athens,Oglethorpe,s13710
Town of Milford,ME,Bangor,Penobscot,s13711
Reform,AL,,Pickens,s13712
Pratt,KS,,Pratt,s13713
Ronda,NC,North Wilkesboro,Wilkes,s13714
Sebeka,MN,,Wadena,s13715
Rich Hill,MO,Kansas City,Bates,s13716
Grantsville,WV,,Calhoun,s13717
Rockland,NY,,Sullivan,s13718
Tennessee Ridge,TN,,Houston,s13719
Foreman,AR,,Little River,s13720
Sanford,CO,,Conejos,s13721
Leon,WV,Point Pleasant,Mason,s13722
Flatonia,TX,,Fayette,s13723
Owen,WI,,Clark,s13724
Kingsville,MO,Warrensburg,Johnson,s13725
Redgranite,WI,,Waushara,s13726
Raccoon Township,PA,Pittsburgh,Beaver,s13727
Holdrege,NE,,Phelps,s13728
Prentiss,MS,,Jefferson Davis,s13729
Foley,MO,St. Louis,Lincoln,s13730
Hudson Bend,TX,Austin,Travis,s13731
Oriental,NC,New Bern,Pamlico,s13732
