Region,State,Metro,County,Code
Farmington Hills,MI,Detroit,Oakland,s00402
Macomb Township,MI,Detroit,Macomb,s00403
Lakewood,CA,Los Angeles,Los Angeles,s00404
Iowa City,IA,Iowa City,Johnson,s00405
Schaumburg,IL,Chicago,Cook,s00406
Evanston,IL,Chicago,Cook,s00407
Carson,CA,Los Angeles,Los Angeles,s00408
Canton,GA,Atlanta,Cherokee,s00409
Redmond,WA,Seattle,King,s00410
Eau Claire,WI,Eau Claire,Eau Claire,s00411
Camarillo,CA,Ventura,Ventura,s00412
Tustin,CA,Los Angeles,Orange,s00413
Warwick,RI,Providence,Kent,s00414
Kirkland,WA,Seattle,King,s00415
Camden,NJ,Philadelphia,Camden,s00416
Covina,CA,Los Angeles,Los Angeles,s00417
Apple Valley,CA,Riverside,San Bernardino,s00418
Melbourne,FL,Melbourne,Brevard,s00419
Redwood City,CA,San Francisco,San Mateo,s00420
Rome,GA,Rome,Floyd,s00421
Waldorf,MD,Washington,Charles,s00422
Porterville,CA,Visalia,Tulare,s00423
Ellicott City,MD,Baltimore,Howard,s00424
Salisbury,NC,Salisbury,Rowan,s00425
Town of Colonie,NY,Albany,Albany,s00426
Hoover,AL,Birmingham,Jefferson,s00427
Kendall,FL,Miami-Fort Lauderdale,Miami-Dade,s00428
Palm Coast,FL,Palm Coast,Flagler,s00429
Upland,CA,Riverside,San Bernardino,s00430
Racine,WI,Racine,Racine,s00431
Ashburn,VA,Washington,Loudoun,s00432
Leesburg,VA,Washington,Loudoun,s00433
Conway,AR,Little Rock,Faulkner,s00434
Lodi,CA,Stockton,San Joaquin,s00435
Plant City,FL,Tampa,Hillsborough,s00436
Bellflower,CA,Los Angeles,Los Angeles,s00437
Stafford,VA,Washington,Stafford,s00438
Lawrence,MA,Boston,Essex,s00439
Kalamazoo,MI,Kalamazoo,Kalamazoo,s00440
Maryville,TN,Knoxville,Blount,s00441
Brooklyn Park,MN,Minneapolis-St Paul,Hennepin,s00442
Scranton,PA,Scranton,Lackawanna,s00443
Greer,SC,Greenville,Greenville,s00444
Baldwin Park,CA,Los Angeles,Los Angeles,s00445
Turlock,CA,Modesto,Stanislaus,s00446
Brick,NJ,New York,Ocean,s00447
Oviedo,FL,Orlando,Seminole,s00448
Appleton,WI,Appleton,Outagamie,s00449
Arlington Heights,IL,Chicago,Cook,s00450
Somerville,MA,Boston,Middlesex,s00451
Huntington Park,CA,Los Angeles,Los Angeles,s00452
Marysville,WA,Seattle,Snohomish,s00453
Palm Harbor,FL,Tampa,Pinellas,s00454
Mountain View,CA,San Jose,Santa Clara,s00455
New Rochelle,NY,New York,Westchester,s00456
Alameda,CA,San Francisco,Alameda,s00457
Manteca,CA,Stockton,San Joaquin,s00458
New Britain,CT,Hartford,Hartford,s00459
Bellingham,WA,Bellingham,Whatcom,s00460
Port Charlotte,FL,Punta Gorda,Charlotte,s00461
Springfield,OR,Eugene,Lane,s00462
San Ramon,CA,San Francisco,Contra Costa,s00463
Casa Grande,AZ,Phoenix,Pinal,s00464
Folsom,CA,Sacramento,Sacramento,s00465
Smyrna,GA,Atlanta,Cobb,s00466
Pawtucket,RI,Providence,Providence,s00467
Mount Pleasant,SC,Charleston,Charleston,s00468
Snellville,GA,Atlanta,Gwinnett,s00469
Rochester Hills,MI,Detroit,Oakland,s00470
Southfield,MI,Detroit,Oakland,s00471
Plymouth,MN,Minneapolis-St Paul,Hennepin,s00472
Wilmington,DE,Philadelphia,New Castle,s00473
Simpsonville,SC,Greenville,Greenville,s00474
La Mesa,CA,San Diego,San Diego,s00475
Redlands,CA,Riverside,San Bernardino,s00476
Petaluma,CA,Santa Rosa,Sonoma,s00477
Waterford,MI,Detroit,Oakland,s00478
Lake Forest,CA,Los Angeles,Orange,s00479
Spring Valley,CA,San Diego,San Diego,s00480
North Charleston,SC,Charleston,Charleston,s00481
Cocoa,FL,Melbourne,Brevard,s00482
Tulare,CA,Visalia,Tulare,s00483
San Rafael,CA,San Francisco,Marin,s00484
Yuba City,CA,Yuba City,Sutter,s00485
Cranston,RI,Providence,Providence,s00486
Waipahu,HI,Honolulu,Honolulu,s00487
North Little Rock,AR,Little Rock,Pulaski,s00488
Asheville,NC,Asheville,Buncombe,s00489
Gastonia,NC,Charlotte,Gaston,s00490
Chino Hills,CA,Riverside,San Bernardino,s00491
Winchester,VA,Winchester,Frederick,s00492
Statesville,NC,Statesville,Iredell,s00493
Avondale,AZ,Phoenix,Maricopa,s00494
Mooresville,NC,Statesville,Iredell,s00495
Passaic,NJ,New York,Passaic,s00496
Bolingbrook,IL,Chicago,Will,s00497
Aiken,SC,Augusta,Aiken,s00498
Pasco,WA,Kennewick,Franklin,s00499
Weston,FL,Miami-Fort Lauderdale,Broward,s00500
Apex,NC,Raleigh,Wake,s00501
Lynwood,CA,Los Angeles,Los Angeles,s00502
Framingham,MA,Boston,Middlesex,s00503
Pleasanton,CA,San Francisco,Alameda,s00504
Dubuque,IA,Dubuque,Dubuque,s00505
Greenville,NC,Greenville,Pitt,s00506
Hanford,CA,Hanford,Kings,s00507
Fayetteville,AR,Fayetteville,Washington,s00508
Lauderhill,FL,Miami-Fort Lauderdale,Broward,s00509
Centreville,VA,Washington,Fairfax,s00510
Salisbury,MD,Salisbury,Wicomico,s00511
Punta Gorda,FL,Punta Gorda,Charlotte,s00512
Youngstown,OH,Youngstown,Mahoning,s00513
Lorain,OH,Cleveland,Lorain,s00514
Sanford,NC,Sanford,Lee,s00515
Eagan,MN,Minneapolis-St Paul,Dakota,s00516
Venice,FL,Sarasota,Sarasota,s00517
